"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-20",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-21",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-22",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-23",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-24",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-25",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-26",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-27",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-04-28",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-01",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-02",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-03",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-04",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-05",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-06",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-07",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-08",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-09",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-10",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-11",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-12",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-13",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-14",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-15",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-16",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-17",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-18",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-19",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-20",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-21",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-22",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-23",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-24",,,,
"US10scot041","SCOTTSBLUFF 3.7 E, NE US","2023-05-25",,,,
